judge_family,source_judge_runs,answer_model_family,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
minimax,minimax-m3-fair-20260701,gpt,3,part2_last_20,20,20,3.05,76.25,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 4, ""4"": 11}"
minimax,minimax-m3-fair-20260701,gpt,3,all,50,50,3.36,84.0,"{""0"": 1, ""1"": 6, ""2"": 1, ""3"": 8, ""4"": 34}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,part1_first_30,30,30,3.766667,94.1667,"{""0"": 1, ""3"": 3, ""4"": 26}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,part2_last_20,20,20,3.2,80.0,"{""1"": 3, ""2"": 3, ""3"": 1, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,claude,1,all,50,50,3.54,88.5,"{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 4, ""4"": 39}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,part1_first_30,30,30,3.8,95.0,"{""0"": 1, ""3"": 2, ""4"": 27}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,part2_last_20,20,20,3.4,85.0,"{""1"": 1, ""2"": 3, ""3"": 3, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,claude,2,all,50,50,3.64,91.0,"{""0"": 1, ""1"": 1, ""2"": 3, ""3"": 5, ""4"": 40}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,part1_first_30,30,30,3.833333,95.8333,"{""1"": 1, ""3"": 2, ""4"": 27}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,part2_last_20,20,20,3.4,85.0,"{""1"": 1, ""2"": 4, ""3"": 1, ""4"": 14}"
deepseek,deepseek-v4-pro-fair-20260701,claude,3,all,50,50,3.66,91.5,"{""1"": 2, ""2"": 4, ""3"": 3, ""4"": 41}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,part1_first_30,30,30,3.833333,95.8333,"{""2"": 1, ""3"": 3, ""4"": 26}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,part2_last_20,20,20,2.8,70.0,"{""1"": 5, ""2"": 3, ""3"": 3, ""4"": 9}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,1,all,50,50,3.42,85.5,"{""1"": 5, ""2"": 4, ""3"": 6, ""4"": 35}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,part1_first_30,30,30,3.666667,91.6667,"{""1"": 1, ""2"": 1, ""3"": 5, ""4"": 23}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,part2_last_20,20,20,2.75,68.75,"{""1"": 5, ""2"": 4, ""3"": 2, ""4"": 9}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,2,all,50,50,3.3,82.5,"{""1"": 6, ""2"": 5, ""3"": 7, ""4"": 32}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,part1_first_30,30,30,3.633333,90.8333,"{""0"": 1, ""2"": 1, ""3"": 5, ""4"": 23}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,part2_last_20,20,20,2.65,66.25,"{""1"": 6, ""2"": 3, ""3"": 3, ""4"": 8}"
deepseek,deepseek-v4-pro-fair-20260701,gemini,3,all,50,50,3.24,81.0,"{""0"": 1, ""1"": 6, ""2"": 4, ""3"": 8, ""4"": 31}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,part1_first_30,30,30,3.466667,86.6667,"{""0"": 2, ""1"": 2, ""3"": 2, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,part2_last_20,20,20,3.1,77.5,"{""1"": 3, ""2"": 3, ""3"": 3, ""4"": 11}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,1,all,50,50,3.32,83.0,"{""0"": 2, ""1"": 5, ""2"": 3, ""3"": 5, ""4"": 35}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,part1_first_30,30,30,3.4,85.0,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,part2_last_20,20,20,2.55,63.75,"{""1"": 7, ""2"": 4, ""4"": 9}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,2,all,50,50,3.06,76.5,"{""0"": 3, ""1"": 8, ""2"": 5, ""3"": 1, ""4"": 33}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,part1_first_30,30,30,3.533333,88.3333,"{""0"": 2, ""1"": 1, ""3"": 3, ""4"": 24}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,part2_last_20,20,20,3.3,82.5,"{""1"": 2, ""2"": 3, ""3"": 2, ""4"": 13}"
deepseek,deepseek-v4-pro-fair-20260701,gpt,3,all,50,50,3.44,86.0,"{""0"": 2, ""1"": 3, ""2"": 3, ""3"": 5, ""4"": 37}"
